Company,Country,Pavilion,Website,Activity (1 line),Products,Product categories (filters),Services,Service categories (filters),Target customers,Technologies,Technology categories (filters),Why target,Score,Source
Insta,Finland,,http://www.insta.fi/en/,"Designs and integrates C2 systems, aerial drones, and cybersecurity solutions for armed forces.",Command and Control (C2) systems · Aerial drones (UAV) and payloads · Data encryption and filtering solutions,Drones aériens (UAV) · Cybersécurité (logiciels & appliances),Systems integration · MCO / MRO · Cybersecurity,Intégration de systèmes · MCO / MRO,"MoD / Armed Forces, Defense industrials",Unmanned systems (UAS) · Cybersecurity · Data encryption,Cybersécurité · IA / machine learning,C2 integrator and drone manufacturer for defense forces — strategic supplier in the Finnish defense sector with MRO and lifecycle support expertise.,100,manual
Mastsystem,Finland,,http://mastsystem.com/,Manufactures tactical telescopic masts in composite materials for defense and civil applications.,Tactical telescopic masts (8 product lines) · Mounting accessories · Antenna pointing devices,"Matériaux composites & blindage · Mâts, signalisation & balisage",MCO / MRO,MCO / MRO,"MoD / Armed Forces, Defense prime contractors, Defense manufacturers, Export / international",Composite materials,Matériaux composites,Established supplier of mast systems for tactical vehicles and command posts — a relevant partner for European defense equipment manufacturers and institutional procurement.,100,manual
NOKIA,Finland,,http://www.nokia.com/industries/defense/,Designs and delivers 5G/4G/LTE solutions and network infrastructure for the Finnish armed forces and the global defence industry.,5G/4G base stations · private radio networks (P-LTE/5G) · military optical transport · defence mobile core,Réseaux militaires (5G/P-LTE/MANET) · Plateformes IA / vision défense,defence private network deployment · telecom MRO · integration,MCO / MRO · Intégration de systèmes,"MoD / Armed Forces, Civil Security, Defence Industrials",5G / wireless · P-LTE private networks · optical transport,5G / réseaux radio mobiles,Direct competitor to Ericsson on defence 5G/P-LTE infrastructure — strategic supplier for tactical communications programmes.,100,manual
NOPTEL OY,Finland,,http://www.noptel.fi/,"Manufactures long-range laser rangefinder modules (>30 km) and sighting systems for drones, reconnaissance systems, and counter-UAV applications.",Long-range laser rangefinder modules · Sighting systems for drones and UAVs · Counter-drone systems,Optronique & viseurs (EO/IR),Optoelectronic module design · Integration onto embedded systems,Intégration de systèmes,"Defence Primes, Defence Industrials",Laser rangefinding · Optronics · Counter-drone systems,Lidar / Laser,Supplier of critical optoelectronic sensors for integrators of airborne observation and targeting systems — access to drone and reconnaissance programmes within European armed forces.,100,manual
Observis Oy,Finland,,http://www.observis.fi/,"Designs and manufactures CBRN equipment (detection, protection, decontamination).",CBRN masks · CBRN suits · Gas detectors · NBC filters,"NRBC (masques, tenues, détecteurs) · Conteneurs, malles, shelters",Systems integration,Intégration de systèmes,"MoD / Armed Forces, Civil security, Export / international, Defense primes",CBRN filtration,Filtration NRBC,Competitor in the CBRN market — partner for armed forces seeking CBRN sovereignty.,100,high
PATRIA OYJ,Finland,,http://www.patriagroup.com/,"Designs armored vehicles, weapon systems, mortars, and support solutions for Northern European and NATO armies.",Patria AMV 6x6 armored vehicle · Patria CAVS 6x6 vehicle · NEMO 120 mm mortar system · AMOS mortar system · Patria 6x6 tracked vehicle · remotely operated weapon stations,Véhicules blindés · Véhicules tactiques (non blindés),armored vehicle MRO · integrated logistic support · crew training · fleet modernization,MCO / MRO · Formation & entraînement · Modernisation de flottes,"MoD / Armed Forces, Defense primes, Export / international",modular armor · remotely operated turrets · training simulation · robotics / autonomy,Navigation inertielle · Simulation & VR/AR · Robotique & autonomie,"Buyer of vehicle sub-systems (powertrains, armor, turret electronics) — direct competitor on 6x6 armored vehicles and mortar systems.",100,manual
PIAKO OY,Finland,,http://piako.fi/en/front-page/,Manufactures modular tactical vehicles and specialized trailers for military operations and security.,Customized tactical vehicles · Mobile command centres · Modular trailers · Demountable body systems · Air-transportable transport solutions,Véhicules tactiques (non blindés),Custom design · Manufacturing · After-sales service and spare parts,MCO / MRO,"MoD / Armed Forces, Civil security, Defence industrials",Stabilization systems for onboard equipment · ADR EXII/EXIII compliance,Autre — à qualifier,Finnish manufacturer of tactical vehicles certified to military standards — potential supplier for European armed forces and security operators.,100,manual
Polartherm,Finland,,https://polartherm.fi/military/frontpage/,"Manufactures electric heaters and hot-air generators for military air bases (5,600+ units delivered worldwide).",electric hot-air heaters · portable hot-air generators · field heating equipment,Groupes électrogènes & énergie tactique,,Distribution & représentation,"MoD / Armed Forces, Defense industrials",industrial thermal systems,Imagerie infrarouge,"Niche supplier of thermal equipment for aviation ground support — potential market in France and NATO for encampments, field operations, and air bases.",100,manual
Qt Group,Finland,,https://qt.io/,"Publishes Qt Framework (cross-platform frameworks), Qt Creator IDE, and quality assurance tools (Squish, Coco, Axivion) for embedded aeronautic and defense development.",Qt Framework · Qt Creator IDE · Qt Design Studio · Squish (test automation) · Coco (code coverage) · Axivion (static analysis) · Qt for MCUs,"Mâts, signalisation & balisage · Financement, banque & assurance défense",Development training & support · CRA compliance / aerospace standards consulting,Formation & entraînement · Ingénierie & conseil,"Defense Primes, Defense Industrials",Cross-platform framework · Software quality tools · Embedded systems · Static code analysis,Cybersécurité,"Software tools and frameworks provider for engineering teams at defense/aerospace primes developing critical embedded systems (avionics, control systems). Strong partnership potential for internal adoption.",100,manual
RAIKKA OY,Finland,,http://www.raikka.fi/,"Designs and manufactures initiation systems and counter-mobility systems (mines, IED) for NATO armed forces (Raikka Finland).",high-quality initiation systems · anti-mobility systems (mines) · fuzes and detonators,Explosifs & matériaux énergétiques,OEM supply · military qualification,Sous-traitance industrielle · Certification & tests,"MoD / Armed Forces, Defense industrials, Export / international",energetic materials,Matériaux énergétiques,Finnish NATO ammunition manufacturer — supplier of initiation systems and anti-mobility systems for European armed forces.,100,manual
SAKO,Finland,,http://www.sako.global/defence-and-law-enforcement,Designs and manufactures small arms and accessories for military and law enforcement use.,assault rifles · service pistols · precision rifles,Armes légères & accessoires · Pièces mécaniques & usinage,MCO / MRO · engineering / consulting · distribution / representation · systems integration,MCO / MRO · Ingénierie & conseil · Distribution & représentation · Intégration de systèmes,"MoD / Armed Forces, Civil security, Export / international",weapons mechanics,Autre — à qualifier,Competitor in the small arms market for infantry and police — buyer of energetic materials and precision mechanical components.,100,high
SAVOX COMMUNICATIONS LTD.,Finland,,https://savox.com/,"Manufactures mission-critical wireless communication systems (IMP intercom, Noise-COM headsets, TRICS controllers) for defense, law enforcement, and emergency services.","IMP intercom system · Noise-COM communication headsets (100, 200, 300, 500) · TRICS communication controllers (Ci4, C2, C4) · Base stations (C-C200, C-C440, C-C550) · Search & rescue systems (Delsar, SearchCam) · Splendor XP MIL II hearing protection · LiveConnect 200 broadband communication platform",Autre — à qualifier,Design and manufacturing · Lifecycle services (MCO/MRO) · Communication systems integration,Intégration de systèmes · MCO / MRO,"MoD / Armed Forces, Civil security, Defense primes",ATEX wireless radio communications · Broadband communication systems · Noise processing / mission-critical audio,5G / réseaux radio mobiles,Finnish specialist in mission-critical radio communications with ATEX certification — potential supplier for headset and intercom system procurement by European security forces and armed forces.,100,manual
Senop Oy,Finland,,http://senop.fi/,Designs and manufactures infantry optronic systems and fire control systems for the Finnish Armed Forces and export markets.,thermal binoculars · thermal weapon sights · laser designators,Optronique & viseurs (EO/IR) · Optiques d'armes (viseurs) · Armes légères & accessoires,weapon integration · optronic MCO,Intégration de systèmes · MCO / MRO,"MoD / Armed Forces, Export / International",thermal imaging · laser designators,Imagerie infrarouge · Lidar / Laser,Finnish infantry optronics niche — partner for Nordic forces and NATO-East.,100,manual
"SISU AXLES, INC.",Finland,,https://www.sisuaxles.com/,"Designs transmission systems, axles, and suspension systems for military vehicles.",Hydropneumatic suspension systems · Armored shock absorbers · Tank suspension assemblies,Hydraulique & motion control · Mécanique de transmission,Certification / testing · Subcontracting · Distribution / representation,Certification & tests · Sous-traitance industrielle · Distribution & représentation,"Defense primes, MoD / Armed Forces, Export / international",Military shock absorbers,Hydraulique haute performance,Tier-1 tank suspension supplier — partner for armored vehicle primes.,100,medium
Unikie Oy,Finland,,http://unikie.com/,"Develops embedded and autonomous AI software for vehicles, defense systems and industrial solutions.",embedded AI software · real-time autonomy platforms · intelligent systems for defense,Plateformes IA / vision défense,software engineering · systems integration · R&D and innovation,Ingénierie & conseil · Intégration de systèmes,"MoD / Armed Forces, Defense primes, Defense industrials",AI / machine learning · secure embedded systems · real-time autonomy,IA / machine learning,Software publisher specializing in physical AI for defense systems — provider of autonomous capabilities for weapon systems and critical platforms.,100,manual
VR FLEETCARE,Finland,,https://www.vrfleetcare.com/en/,Maintains and modernizes wagons and rolling stock for Nordic and European transport operators.,Gauge transfer bogies · Wagon maintenance services · Fleet modernization and refurbishment services,"Mâts, signalisation & balisage",MCO / MRO · Systems integration · Wagon manufacturing and maintenance,MCO / MRO · Intégration de systèmes,"Civil rail operators, Rail transport industrialists",Mechanical gauge transfer systems,Autre — à qualifier,Rail maintenance company with no clear link to defense; exclusively civil sector (sustainable transport) — outside the Eurosatory defense-security scope.,100,manual
Winse Power,Finland,,https://winsepower.com/,"Designs and manufactures optronic systems, electronic components, and batteries / power sources.",Optronic systems · Electronic components · Batteries / power sources,Optronique & viseurs (EO/IR) · Composants électroniques & cartes · Batteries & packs énergétiques,Systems integration,Intégration de systèmes,MoD / Armed Forces,Thermal imaging · Precision optics · Ruggedized microelectronics · Portable energy,Imagerie infrarouge · Optique de précision,Competitor in optronic systems — potential target for the sale of complementary subsystems or associated services.,100,medium
2H ENERGY,France,,http://www.2henergy.fr/,Designs and manufactures modular energy solutions for armed forces.,Portable generators · Mobile power generation units · Tactical energy kits · High-density batteries,Groupes électrogènes & énergie tactique · Batteries & packs énergétiques,Training · Certification / testing,Formation & entraînement · Certification & tests,"MoD / Armed Forces, Defence primes, Civil security, Export / international",Portable power · Power electronics,Autre — à qualifier,"Potential buyer of military Li-ion batteries, embedded energy management modules, and electrical power generation components.",100,high
A2V SAS,France,,https://a2v.fr/,"Designs and integrates custom mechatronic solutions (motors, drives, electronic boards).",Stepper motors · Brushless motors · Servomotors · Linear actuators · Drives · Slip rings · Peristaltic pumps · Electronic boards · Motors with integrated electronics,Composants électroniques & cartes · Servomoteurs & motion control précision,Mechatronics engineering · Electronics design · Industrial integration · Product customization · Electronic board manufacturing · Distribution,Ingénierie & conseil · Intégration de systèmes · Sous-traitance industrielle,"Defense industrials, Defense primes",Motion control · EtherCAT,Autre — à qualifier,Mechatronics engineering office capable of custom development and electromechanical production — potential integration supplier for complex motorized systems.,100,manual
Aalberts Surface Technologies,France,,https://www.aalberts-st.com/,Provides heat treatments and surface coatings to enhance material properties.,Heat treatments · Surface coatings · Hardening treatments,Pièces mécaniques & usinage,Industrial surface treatments · Specialized coating services,Sous-traitance industrielle · MCO / MRO,"Defense industrials, Defense primes",Heat treatment · Specialized coatings,Imagerie infrarouge,Critical surface treatment provider for improving the durability and performance of aeronautical and defense components.,100,manual
ACOME GROUP,France,,http://www.acome.com/fr,"Manufactures high-technology cable systems for telecoms, automotive, railway, and smart grid applications.",Hybrid cables integrating copper conductors and optical fiber · High-technology cable systems · Cable conduits and accessories,Réseaux militaires (5G/P-LTE/MANET),Distribution & representation,Distribution & représentation,"Defense industrials, MoD / Armed Forces",Optical fiber · 5G networks,Photonique & fibres optiques · 5G / réseaux radio mobiles,"Supplier of cables and hybrid systems for critical infrastructure (railway, power, telecoms) — defense/security sector via sensitive civil applications.",100,manual
Actemium Bonnétage Automation (AC Automation),France,,http://acautomation.fr/,Designs and builds precision automated assembly special-purpose machines and automated inspection systems.,Special-purpose automated assembly machines · Automated quality control stations · Industrial vision systems · Robotic assembly cells · 2D/3D bulk-part feeding systems,Pièces mécaniques & usinage · Autre — à qualifier,"Engineering and design of special-purpose machines · Production means industrialization · After-sales service and machine maintenance · Industrial subcontracting · Component distribution (vibratory bowls, feeders, palletizers)",Sous-traitance industrielle · Intégration de systèmes · Ingénierie & conseil,"Defense industrials, Defense primes",Industrial robotics · Industrial vision · Automation · Assembly system integration,Robotique & autonomie · Vision par ordinateur,"Potential integrator of automated assembly lines for ammunition, electronic, and mechanical sub-assemblies for defense prime contractors.",100,manual
Actemium Maintenance Auxerre,France,,https://www.actemium.fr/implantations/actemium-maintenance-auxerre,"Maintains industrial equipment (mechanical, hydraulic, automation) for defense and industrial sites.",Corrective maintenance of equipment · Preventive maintenance for industrial sites · Hydraulic and mechanical interventions,Hydraulique & motion control,Industrial MCO · Preventive maintenance · 24/7 support,MCO / MRO,"Defense industrials, Defense primes",Precision mechanics,Autre — à qualifier,French industrial maintenance provider (VINCI Énergies group) — partner for production sites of defense prime contractors.,100,manual
ADDEV Materials,France,,http://addevmaterials.com/,"Designs and manufactures hardened technical packaging for defense, aeronautics, and armament.",Hardened technical cases · Watertight containers · Custom mil-spec packaging,"Conteneurs, malles, shelters · Pièces mécaniques & usinage · Optronique & viseurs (EO/IR)",MCO / MRO · Engineering / consulting,MCO / MRO · Ingénierie & conseil,"MoD / Armed Forces, Defense primes, Defense industrials, Export / international",Watertight containers,Autre — à qualifier,"Technical packaging supplier — partner for the deployment of sensitive equipment (avionics, optronics, ammunition).",100,high
ADVANTECH,France,,http://www.advantech.com/en-eu,"Manufactures embedded boards and integrated IoT/A-IoT systems for industrial, defense, and transportation applications.",Motherboards and SBCs (Single Board Computers) · IoT embedded systems · Edge computing products · Industrial servers,Autre — à qualifier,Systems integration · Design & Manufacturing Services (DMS) · Custom design services,Intégration de systèmes · Ingénierie & conseil,"Defense industrials, Defense primes, Export / international",IoT / edge computing · Industry 4.0,Edge computing & GPU embarqué,Supplier of embedded components and systems for integration into defense platforms — specialist in custom product adaptation and DMS.,100,manual
AEROSPACE & DEFENCE,France,,https://www.acmh.fr/,"Designs and manufactures hardened containers for military, industrial, space, and humanitarian use (ACMH Honfleur).",hardened military containers · tactical shelters · custom logistics modules · space containers,"Conteneurs, malles, shelters",equipment integration · forward deployment logistics,Intégration de systèmes,"MoD / Armed Forces, Civil security, Defense industrials",hardened shelters,Autre — à qualifier,"French manufacturer of military containers (Honfleur) — partner for the forward deployment of sensitive equipment (avionics, optronics, CBRN).",100,manual
AGON ELECTRONICS,France,,http://www.agon-electronics.com/,"Manufactures and integrates complex electronic boards and systems for defense, aerospace and critical environments.",Electronic boards · Integrated electronic systems · Precision electronic assemblies,Satellites & CubeSats · Composants électroniques & cartes,EMS (Electronic Manufacturing Services) · ODM (Original Design Manufacturing) · Systems integration · MCO / MRO,Intégration de systèmes · Sous-traitance industrielle,"MoD / Armed Forces, Defense primes, Defense industry",Precision electronics · Signal processing,Autre — à qualifier,EN9100-certified EMS/ODM supplier with critical environment expertise — key partner for the industrialization and production of defense sub-assemblies.,100,manual
AGORAMECA,France,,https://www.agorameca.com/,"Manufactures precision-machined mechanical parts (milling, turning, EDM) for aerospace, defense, and industrial sectors.",Precision machined parts (5-axis milling) · Turned parts · EDM parts · Precision tooling,Pièces mécaniques & usinage,Subcontract machining · Prototyping · Series production,Sous-traitance industrielle,"Defense industrials, Defense primes, Aerospace & automotive industrials",5-axis CNC machining · Electro-discharge machining (EDM),Autre — à qualifier,"Mechanical subcontractor in the Centre-Val de Loire region with high-precision machining capabilities (5-axis, EDM) — potential supplier for complex parts and aerospace-defense prototypes.",100,manual
AIRBORNE SYSTEMS FRANCE,France,,https://airborne-sys.com/,"Manufactures military parachutes, ejection systems, and precision aerial delivery equipment.",Military parachutes · Ejection seat parachutes · GPS-guided cargo delivery systems · Space and aerial recovery systems · Deceleration systems for high-performance aircraft,"Satellites & CubeSats · Mâts, signalisation & balisage",Engineering & consulting · Research & development · Training & instruction,Ingénierie & conseil · Formation & entraînement,"MoD / Armed Forces, Defense industrials","Entry, descent and landing (EDL) systems · Launch vehicle recovery systems · GPS precision guidance",GNSS / navigation satellite,Long-established manufacturer (100+ years) of specialized military parachutes — reference supplier for armed forces and European space programs.,100,manual
AIRBUS,France,,https://www.airbus.com/,"Designs and manufactures military aircraft, helicopters, drones, satellites, and space systems for armed forces and government agencies.",Eurofighter Typhoon combat aircraft · A400M tactical transport aircraft · C295 / CN235 aircraft · A330 MRTT tanker · Eurodrone MALE drone · H145M / Tigre / NH90 helicopters · Pléiades Neo / CSO observation satellites,Avions & hélicoptères militaires · Systèmes C2 & C4ISR · Drones aériens (UAV) · Satellites & CubeSats,military fleet MRO · pilot training · space systems integration · secure cloud services · operational support,MCO / MRO · Formation & entraînement · Intégration de systèmes · Services cloud & data · Support opérationnel & OPEX,"MoD / Armed Forces, Defense primes, Civil security, Export / international",AI / vision · cybersecurity · robotics / autonomy · aeronautical carbon composites · simulation,IA / machine learning · Cybersécurité · Robotique & autonomie · Matériaux composites · Navigation inertielle · Simulation & VR/AR,"Major buyer of sub-systems (mechanical, optronics, RF, sensors) for its Eurofighter/Eurodrone/A400M programmes — competitor in the military helicopter segment.",100,manual
ALCEN,France,,http://alcen.com/,"Manufactures specialized bearings, anti-UAV systems, and engineering services for defense.",Ball bearings engineered for demanding applications · High-power microwave anti-UAV systems · Defense engineering and manufacturing services,Pièces mécaniques & usinage,Non-destructive testing · Engineering and manufacturing · Solution deployment,Ingénierie & conseil · Intégration de systèmes,"MoD / Armed Forces, Defense primes, Defense industrials",High-power microwave technology · Specialized bearings,Communications RF / micro-ondes,"French multi-domain industrial group offering precision bearings (ADR), non-destructive testing (AVELION), and anti-UAV defense (ITOPP) — comprehensive supplier for equipment manufacturers and armed forces.",100,manual
ALSETEX,France,,https://www.alsetex.fr/,Designs and manufactures pyrotechnic devices for civil security and law enforcement.,smoke grenades · signalling munitions · tear-gas devices · training pyrotechnics · crowd-control devices,Armes non-létales · Pyrotechnie & artifices · Armes légères & accessoires,OEM supply · training,Sous-traitance industrielle · Formation & entraînement,"Civil Security, MoD / Armed Forces, Export / International",energetic materials · pyrotechnics,Matériaux énergétiques,French civil-security pyrotechnics supplier (Etienne Lacroix subsidiary) — partner for police and gendarmerie forces.,100,manual
Alta Ares,France,,https://altaares.com/,Develops AI and sensor fusion solutions for defense.,AI automatic detection modules · sensor fusion software · tactical AI platforms,Plateformes IA / vision défense · Logiciels métier défense (autres),cloud / data services · engineering / consulting · systems integration,Services cloud & data · Ingénierie & conseil · Intégration de systèmes,"MoD / Armed Forces, Defense Primes, Civil Security, Export / International",AI / vision · computer vision,IA / machine learning · Vision par ordinateur,AI specialist — partner for optronics primes and ISR integrators seeking real-time automatic detection building blocks.,100,high
AMEFO,France,,https://amefo.fr/,Subcontracts mechanical machining for defense and industry.,precision machined parts · micro-mechanical assemblies · complex CNC components,Pièces mécaniques & usinage · Matériaux composites & blindage,certification / testing · training,Certification & tests · Formation & entraînement,"Defense primes, Defense industrials, MoD / Armed Forces, Civil security",precision mechanics · 5-axis machining,Autre — à qualifier,"EN9100/AQAP-eligible subcontractor — potential supplier of short-run parts for defense programs (Scorpion, Eurofighter, MGCS).",100,high
A-NSE,France,,https://www.a-nse.com/,"Designs, manufactures and operates tethered aerostats, E-VTOL airships and stratospheric balloons for ISR.",Tethered aerostats · E-VTOL airships · Stratospheric balloons · Persistent airborne ISR platforms · Ground control stations,Drones aériens (UAV) · Satellites & CubeSats · Capteurs embarqués (généraux),Payload integration · Theatre aerostat operations · Data collection and analysis · Aerostat MRO,Intégration de systèmes · Support opérationnel & OPEX · MCO / MRO,"MoD / Armed Forces, Civil security, Export / international",Composite materials · High-altitude aerostatics · Airborne data link · EO/IR sensor integration,Matériaux composites · Communications RF / micro-ondes · Imagerie infrarouge,"Aerostat / HAPS niche — partner or competitor for persistent ISR programs and border surveillance (vs TCOM, RT LTA).",100,manual
ANTARES FRANCE,France,,http://www.antares-france.com/,"Provides precision mechanics subcontracting for defense, aeronautics, naval, nuclear and medical sectors.",Precision machined parts · Micro-mechanical assemblies · Certified aeronautical parts,Pièces mécaniques & usinage,5-axis CNC machining · EN9100 certifications,Certification & tests,"Defense industrials, Defense primes",Precision mechanics,Autre — à qualifier,"French EN9100-certified precision mechanics subcontractor — potential supplier to Safran, Airbus DS, MBDA and Naval Group.",100,manual
APEM,France,,https://www.apem.com/,"Designs and manufactures HMI components (buttons, switches) for industrial and defense applications.",hardened DC/DC converters · military power supplies · embedded energy modules,Alimentations & convertisseurs durcis,certification / testing,Certification & tests,"Defense primes, Defense industrials, MoD / Armed Forces",power electronics,Autre — à qualifier,Hardened power electronics supplier — partner for vehicle primes seeking compact alternatives.,100,medium
APPLICATIONS COMPOSITES,France,,https://www.applicationscomposites.fr/,Designs and supplies composite materials and structures for defense and aeronautics.,carbon composite materials · aeronautical composite structures · pre-pregs,Matériaux composites & blindage,subcontracting,Sous-traitance industrielle,"Defense primes, Defense industrials, Export / international",composite materials · carbon composites,Matériaux composites,"Tier-1 composites supplier — partner for aerospace, helicopter and naval primes (structures, fairings, radomes).",100,medium
AQLE,France,,https://www.aqle.fr/,"Distributes military engines, propulsion assemblies, and mobile generator sets for prime contractors and armed forces.",military engines · propulsion assemblies · mobile generator sets · engines / propulsion,Groupes électrogènes & énergie tactique · Moteurs aéronautiques,distribution / representation · certification / testing · subcontracting,Distribution & représentation · Certification & tests · Sous-traitance industrielle,"Defense primes, MoD / Armed Forces",aeronautical engines,Autre — à qualifier,Distribution channel in the defense prime contractor market — partner for representing foreign brands and accessing the local industrial base.,100,high
ARESIA,France,,http://www.aresia.com/,"Designs and manufactures aeronautical equipment (stores, structures, sub-assemblies) for defense and civil applications.",aircraft stores & missile launchers · drop tanks · pylons & store adapters · aeronautical structures · aircraft mechanical sub-assemblies,Avions & hélicoptères militaires · Pièces mécaniques & usinage · Missiles & armements guidés,aeronautical industrial subcontracting · aeronautical equipment MRO · engineering & integration,Sous-traitance industrielle · MCO / MRO · Intégration de systèmes,"Defense primes, MoD / Armed Forces, Export / international",precision mechanics · composite materials · aeronautical integration,Matériaux composites · Optique de précision,"French Tier-1 defense aeronautics equipment manufacturer — partner / subcontractor for Dassault, Airbus DS, and helicopter primes, and a potential buyer of mechanical parts and hardened components.",100,manual
ArianeGroup,France,,https://www.ariane.group/,"Designs and manufactures engines / propulsion systems, satellite systems, and optronic systems for primes and armed forces.",engines / propulsion systems · satellite systems · optronic systems · composite materials · military vehicles,Moteurs aéronautiques · Satellites & CubeSats · Optronique & viseurs (EO/IR) · Matériaux composites & blindage · Véhicules tactiques (non blindés),systems integration,Intégration de systèmes,"Defense primes, MoD / Armed Forces, Export / international",composite materials · AI / vision · Lidar / Laser · robotics / autonomy · cloud,Matériaux composites · IA / machine learning · Lidar / Laser · Robotique & autonomie · Cloud & cloud souverain,Competitor in engines / propulsion — potential target for the sale of complementary sub-systems or associated services.,100,high
ART CONCEPT COMPOSITES,France,,http://www.art-concept.fr/,Designs and manufactures watertight containers and hardened transport cases (anti-vibration) compliant with mil-std.,mil-std transport cases · IP67 watertight containers · custom tailored assemblies,"Conteneurs, malles, shelters",custom fitting · logistics,Autre — à qualifier,"MoD / Armed Forces, Civil security, Defense industrials",watertight containers,Autre — à qualifier,French supplier of tactical cases — partner for the French armed forces and defense exports.,100,manual
ASB AEROSPATIALE BATTERIES,France,,http://www.asb-group.com/,Manufactures primary lithium thermal batteries for extreme military and space applications.,Lithium thermal batteries · Reserve batteries · Hermetic feedthroughs,Autre — à qualifier,Systems integration,Intégration de systèmes,"MoD / Armed Forces, Defense primes, Defense industrials",Lithium (LAN anode) · CoS2,Autre — à qualifier,"Global leader in thermal batteries with a capacity of 120,000 units/year — exclusive supplier to MBDA and major French and UK defense primes.",100,manual
ATOS,France,,http://atos.net/fr/,"Integrates and operates critical cybersecurity, data, and AI systems for armed forces.",Sovereign cybersecurity platforms · Defense simulation systems · Critical data cloud solutions · AI platforms for defense environments,Cybersécurité (logiciels & appliances),Systems integration · Operation and maintenance of critical systems · Defense digital transformation · Cybersecurity consulting,Intégration de systèmes · MCO / MRO · Ingénierie & conseil,"MoD / Armed Forces, Defense primes, Defense industrials",Cybersecurity · AI / machine learning · Sovereign cloud,Cybersécurité · IA / machine learning,Major systems integrator specializing in the operation of critical chains for French and European armed forces — key player for digital capability and resilience markets.,100,manual
ATREYD,France,,https://www.atreyd.com/,"Designs and manufactures autonomous combat drones (DMS-1, DSB-1, DMI-1) and counter-drone systems (DWS-1) for armored vehicles and air defense.",Drone Mothership DMS-1 · Drone Strike Battery DSB-1 · Drone Mine DMI-1 · Drone Wall System DWS-1 · Ultrasonic Guidance & Landing UGL-1,Drones aériens (UAV),Systems integration,Intégration de systèmes,"MoD / Armed Forces, Defense primes",AI / machine learning · Autonomous drones · Counter-drone systems,IA / machine learning,Manufacturer of innovative offensive and defensive drone systems — technology partner for integrators and defense primes seeking counter-drone and autonomous strike solutions.,100,manual
ATS - GROUPE AGS,France,,https://www.groupe-ags.com/,"Manufactures metal parts through machining, laser/waterjet cutting, and additive manufacturing.",Precision machined parts · Metal additive manufacturing parts · 2D/3D laser cutting · Waterjet cutting · Laser welding services,Pièces mécaniques & usinage,High-precision machining · Surface treatment · Industrial subcontracting · 2D/3D cutting,Sous-traitance industrielle,"Defense industrials, Defense primes",Metal additive manufacturing · CNC machining · Laser cutting · Laser welding,Fabrication additive,French multi-technology mechanical subcontractor — potential supplier of machined and additively manufactured parts for defense equipment manufacturers.,100,manual
ATTAX,France,,http://www.attax.com/,"Manufactures mechanical parts and fasteners for civil aeronautics (Airbus, Boeing) through machining (3/5-axis) and sheet metal working (laser, robotic bending, welding).","Specialised fasteners (Butterfly Clips, seat attachments) · Machined parts (3/5-axis milling, turning) · Sheet metal assemblies (laser cutting, bending, welding)",Pièces mécaniques & usinage,Industrial subcontracting (design-to-manufacture) · Engineering & prototyping,Sous-traitance industrielle · Ingénierie & conseil,"Defence primes, Defence industrials",Multi-axis CNC machining · Laser and robotic sheet metal working,Lidar / Laser,"EN9100-certifiable aeronautical subcontractor — sheet metal and machining capabilities compatible with small-batch defence production (hardened electronics, weapon system mounts).",100,manual
AUBERT & DUVAL,France,,http://www.aubertduval.com/,"Designs and manufactures special steels, superalloys, titanium and aluminium for defence, aeronautics and nuclear sectors.",titanium and nickel superalloys · military special steels · aeronautical forged products · high-performance aluminium,Aciers & métallurgie spéciale,precision forging · metallurgical testing,Certification & tests,"Defence primes, Defence industrials, Export / international",superalloy metallurgy · titanium forging,Autre — à qualifier,"French Tier-1 metallurgist (Eramet subsidiary) — strategic supplier for Safran, MBDA, Dassault and defence/nuclear exports.",100,manual
AVANTIX,France,,http://avantix.net/,"Designs and integrates SIGINT/ELINT systems (ELSIM) and simulation radars for acquisition, transmission and testing on naval, airborne and ground platforms.",ELINT/R-ESM systems · COMINT/C-ESM systems · ELSIM range (simulation and testing) · Threat radars,Navires & sous-systèmes navals · Radars & traitement signal,Critical systems integration · Simulation and training · Testing and validation,Intégration de systèmes · Formation & entraînement,"MoD / Armed Forces, Defense primes, Defense industry",SIGINT/ELINT · Embedded electronics · Signal processing,Autre — à qualifier,"Critical French integrator in electromagnetic intelligence — direct supplier to naval and ground forces, and R&D partner for aerospace primes.",100,manual
AWG TECH,France,,http://awgtech.fr/,"Designs and manufactures military electrical harnesses for French land vehicles, naval, and aeronautical applications.",Military electrical harnesses · Hardened vehicle wiring · Interconnect assemblies,Connectique & câblage durcis,Wiring engineering · Military qualification,Ingénierie & conseil · Certification & tests,"Defense prime contractors, Defense industry",Mil-grade connectors · High-performance cables,Autre — à qualifier,"French subcontractor specializing in military harnesses — Tier-1 supplier to Nexter, Naval Group, and MBDA.",100,manual
